,station_id,bikes_available,docks_available,time
5668561,28,14,8,2014/01/16 17:34:02
5668576,28,15,7,2014/01/16 17:49:03
5730766,29,12,11,2013/08/29 12:06:01
5730890,29,13,10,2013/08/29 14:25:01
5731147,29,11,12,2013/08/29 19:07:03
5732392,29,9,14,2013/08/30 18:26:02
5732393,29,10,13,2013/08/30 18:27:01
5736070,29,8,15,2013/09/02 14:40:01
5744826,29,14,9,2013/09/09 11:00:01
5744912,29,15,8,2013/09/09 12:41:02
5745099,29,16,7,2013/09/09 16:12:01
5745103,29,17,6,2013/09/09 16:17:01
5762260,29,7,16,2013/09/21 23:33:01
5770311,29,6,17,2013/09/27 18:50:01
5771880,29,5,18,2013/09/28 21:32:01
5772763,29,4,19,2013/09/29 12:34:01
5791673,29,18,5,2013/10/12 19:07:01
5791674,29,20,3,2013/10/12 19:08:01
5791675,29,21,2,2013/10/12 19:10:01
5791676,29,22,1,2013/10/12 19:11:01
5791681,29,19,4,2013/10/12 19:16:03
5818106,29,11,11,2013/10/31 11:32:01
5821766,29,0,23,2013/11/03 02:00:01
5991255,30,8,7,2013/08/29 12:06:01
5991340,30,9,6,2013/08/29 13:42:01
5991826,30,7,8,2013/08/29 22:45:01
5993240,30,5,10,2013/08/31 01:00:01
5993985,30,6,9,2013/08/31 14:38:01
5995391,30,4,11,2013/09/01 16:24:02
6016865,30,10,5,2013/09/17 19:56:02
6035008,30,11,4,2013/09/30 18:20:02
6064951,30,12,3,2013/10/21 21:56:01
6099065,30,13,2,2013/11/14 18:21:02
6110080,30,3,12,2013/11/22 09:57:02
6117725,30,2,13,2013/11/27 17:22:02
6164515,30,0,15,2013/12/30 05:22:02
6203584,30,1,14,2014/01/26 12:18:03
6251744,31,2,13,2013/12/31 08:48:02
6251905,31,1,14,2013/12/31 11:29:02
6251986,31,3,12,2013/12/31 12:50:02
6255087,31,0,15,2014/01/02 16:34:03
6255256,31,4,11,2014/01/02 19:23:02
6255257,31,5,10,2014/01/02 19:24:03
6255258,31,6,9,2014/01/02 19:25:02
6255259,31,8,7,2014/01/02 19:26:02
6256122,31,9,6,2014/01/03 09:49:02
6256309,31,7,8,2014/01/03 12:56:02
6257213,31,10,5,2014/01/04 04:00:11
6261611,31,11,4,2014/01/07 08:22:02
6337327,32,2,9,2013/12/31 06:21:03
6340864,32,1,10,2014/01/02 17:21:02
6341009,32,4,7,2014/01/02 19:46:02
6341011,32,5,6,2014/01/02 19:48:03
6341015,32,6,5,2014/01/02 19:52:02
6342235,32,7,4,2014/01/03 16:12:03
6342453,32,8,3,2014/01/03 19:50:02
6349343,32,3,8,2014/01/08 17:44:02
6356027,32,9,2,2014/01/13 09:08:02
6361886,32,10,1,2014/01/17 10:48:02
6364835,32,6,4,2014/01/19 11:57:03
6366088,32,7,3,2014/01/20 08:50:02
6380458,32,5,5,2014/01/30 08:59:02
6389744,32,4,6,2014/02/05 19:50:02
6389745,32,4,5,2014/02/05 19:51:03
6389746,32,4,4,2014/02/05 19:52:02
6423057,33,8,7,2013/08/29 12:06:01
6423444,33,9,6,2013/08/29 19:15:01
6424112,33,7,8,2013/08/30 07:50:01
6424711,33,10,5,2013/08/30 18:56:02
6425612,33,11,4,2013/08/31 11:31:01
6426821,33,6,9,2013/09/01 09:38:02
6429826,33,5,10,2013/09/03 18:03:01
6459288,33,4,11,2013/09/25 09:00:01
6459443,33,3,12,2013/09/25 11:46:01
6483990,33,12,3,2013/10/12 19:34:01
6486136,33,2,13,2013/10/14 08:00:02
6509228,33,11,3,2013/10/30 16:03:03
